Dataset,Classification Type,Metric,Kernel Type,Q,Sigma,C,D,SVM Time,PCA + SVM Results Accuracy,PCA + SVM Kappa,KPCA-Time,Gamma,Total PCA Components
PTSD,Multi,logeuclid,GaussianGeneral,3,8,,,0.00111846923828125,0.48268907563025204,0.0,0.0,0.005,60
PTSD,Multi,logeuclid,GaussianGeneral,3,10,,,0.0010988076527913412,0.4828011204481793,0.0,0.0,0.005,60
PTSD,Multi,logeuclid,GaussianGeneral,0.5,0.5,,,0.001147015889485677,0.48296918767506997,0.0,0.01,0.005,65
PTSD,Multi,logeuclid,GaussianGeneral,0.5,1,,,0.0011695067087809244,0.48285714285714293,0.0,0.01,0.005,65
PTSD,Multi,logeuclid,GaussianGeneral,0.5,2,,,0.0011517524719238282,0.48313725490196074,0.0,0.01,0.005,65
PTSD,Multi,logeuclid,GaussianGeneral,0.5,4,,,0.0011794884999593099,0.48291316526610645,0.0,0.01,0.005,65
PTSD,Multi,logeuclid,GaussianGeneral,0.5,8,,,0.0010482470194498699,0.4830252100840336,0.0,0.01,0.005,65
PTSD,Multi,logeuclid,GaussianGeneral,0.5,10,,,0.0010112444559733072,0.4828011204481792,0.0,0.01,0.005,65
PTSD,Multi,logeuclid,Gaussian,2,0.5,,,0.0011665980021158854,0.4830812324929972,0.0,0.0,0.005,65
PTSD,Multi,logeuclid,Gaussian,2,1,,,0.001211245854695638,0.48296918767507,0.0,0.0,0.005,65
PTSD,Multi,logeuclid,Gaussian,2,2,,,0.001323699951171875,0.4831372549019608,0.0,0.0,0.005,65
PTSD,Multi,logeuclid,Gaussian,2,4,,,0.0013585726420084635,0.4828011204481793,0.0,0.01,0.005,65
PTSD,Multi,logeuclid,Gaussian,2,8,,,0.0016028563181559245,0.48252100840336126,0.0,0.01,0.005,65
PTSD,Multi,logeuclid,Gaussian,2,10,,,0.0012972354888916016,0.4826890756302521,0.0,0.01,0.005,65
PTSD,Multi,logeuclid,GaussianGeneral,3,0.5,,,0.0016320228576660156,0.4828011204481792,0.0,0.0,0.005,65
PTSD,Multi,logeuclid,GaussianGeneral,3,1,,,0.0013572057088216147,0.48268907563025204,0.0,0.0,0.005,65
PTSD,Multi,logeuclid,GaussianGeneral,3,2,,,0.001315609614054362,0.4827450980392157,0.0,0.0,0.005,65
PTSD,Multi,logeuclid,GaussianGeneral,3,4,,,0.0012625535329182944,0.4828011204481792,0.0,0.0,0.005,65
PTSD,Multi,logeuclid,GaussianGeneral,3,8,,,0.0012190024058024089,0.4828011204481793,0.0,0.0,0.005,65
PTSD,Multi,logeuclid,GaussianGeneral,3,10,,,0.0011972427368164063,0.48240896358543417,0.0,0.01,0.005,65
PTSD,Multi,logeuclid,GaussianGeneral,0.5,0.5,,,0.0011959552764892578,0.48274509803921567,0.0,0.01,0.005,70
PTSD,Multi,logeuclid,GaussianGeneral,0.5,1,,,0.001229699452718099,0.48291316526610645,0.0,0.01,0.005,70
PTSD,Multi,logeuclid,GaussianGeneral,0.5,2,,,0.0012125333150227865,0.4825210084033614,0.0,0.01,0.005,70
PTSD,Multi,logeuclid,GaussianGeneral,0.5,4,,,0.0011652469635009765,0.4825770308123249,0.0,0.01,0.005,70
PTSD,Multi,logeuclid,GaussianGeneral,0.5,8,,,0.0010504881540934245,0.48296918767506997,0.0,0.01,0.005,70
PTSD,Multi,logeuclid,GaussianGeneral,0.5,10,,,0.0010279496510823569,0.4829131652661064,0.0,0.01,0.005,70
PTSD,Multi,logeuclid,Gaussian,2,0.5,,,0.0011795520782470702,0.4831372549019608,0.0,0.0,0.005,70
PTSD,Multi,logeuclid,Gaussian,2,1,,,0.0011814594268798827,0.48302521008403354,0.0,0.0,0.005,70
PTSD,Multi,logeuclid,Gaussian,2,2,,,0.0011575539906819661,0.4828011204481793,0.0,0.0,0.005,70
