Dataset,Classification Type,Metric,Kernel Type,SVM Time,PCA + SVM Results Accuracy,PCA + SVM Kappa,KPCA-Time,Sigma,Gamma,Total PCA Components
PTSD,Multi,logeuclid,Gaussian,0.0033333333333333335,0.48296918767507,0.0,0.07,1,0.5,50
PTSD,Multi,logeuclid,Gaussian,0.002,0.48257703081232495,0.0,0.03,2,0.5,50
PTSD,Multi,logeuclid,Gaussian,0.0,0.4825770308123249,0.0,0.01,4,0.5,50
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.4850420168067226,0.007218683651804669,0.01,8,0.5,50
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.5039775910364146,0.0669427816197697,0.06,10,0.5,50
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.4863865546218487,0.009243257397224395,0.02,0.5,0.5,55
PTSD,Multi,logeuclid,Gaussian,0.0033333333333333335,0.48319327731092443,0.0,0.0,1,0.5,55
PTSD,Multi,logeuclid,Gaussian,0.0,0.4826330532212885,0.0,0.01,2,0.5,55
PTSD,Multi,logeuclid,Gaussian,0.0,0.4828011204481793,0.0,0.01,4,0.5,55
PTSD,Multi,logeuclid,Gaussian,0.002,0.484985994397759,0.005641025641025635,0.01,8,0.5,55
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.5035294117647059,0.0646968350698491,0.03,10,0.5,55
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.492156862745098,0.023384698594710426,0.0,0.5,0.5,60
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.48268907563025204,0.0,0.0,1,0.5,60
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.48268907563025204,0.0,0.01,2,0.5,60
PTSD,Multi,logeuclid,Gaussian,0.0026666666666666666,0.48291316526610645,0.0,0.01,4,0.5,60
PTSD,Multi,logeuclid,Gaussian,0.0,0.4827450980392156,0.0,0.01,8,0.5,60
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.5234733893557423,0.11619226339814699,0.01,10,0.5,60
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.5006162464985995,0.048185183015256476,0.01,0.5,0.5,65
PTSD,Multi,logeuclid,Gaussian,0.0026666666666666666,0.4833053221288514,0.0,0.01,1,0.5,65
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.48240896358543417,0.0,0.02,2,0.5,65
PTSD,Multi,logeuclid,Gaussian,0.002,0.4825210084033614,0.0,0.64,4,0.5,65
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.4867226890756303,0.012403100775193798,0.07,8,0.5,65
PTSD,Multi,logeuclid,Gaussian,0.0033333333333333335,0.5262184873949579,0.1334129780371204,0.01,10,0.5,65
PTSD,Multi,logeuclid,Gaussian,0.004,0.492436974789916,0.01960056825813856,0.03,0.5,0.5,70
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.48330532212885147,0.0,0.01,1,0.5,70
PTSD,Multi,logeuclid,Gaussian,0.0033333333333333335,0.4829131652661065,0.0,0.17,2,0.5,70
PTSD,Multi,logeuclid,Gaussian,0.002,0.48257703081232506,0.0,0.28,4,0.5,70
PTSD,Multi,logeuclid,Gaussian,0.002,0.4980392156862745,0.04392518531671705,0.02,8,0.5,70
PTSD,Multi,logeuclid,Gaussian,0.002,0.5230812324929972,0.09385312237507705,0.01,10,0.5,70
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.4826890756302521,0.0008844665561083432,0.0,0.5,0.5,75
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.48235294117647054,0.0018518518518518526,0.01,1,0.5,75
PTSD,Multi,logeuclid,Gaussian,0.0026666666666666666,0.4847619047619048,0.004283947688208952,0.05,2,0.5,75
PTSD,Multi,logeuclid,Gaussian,0.002,0.4828571428571429,0.0,0.02,4,0.5,75
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.5215126050420167,0.11669873530264888,0.01,8,0.5,75
PTSD,Multi,logeuclid,Gaussian,0.002,0.6165826330532213,0.3069409284251388,0.03,10,0.5,75
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.48302521008403354,0.0,0.0,0.5,0.5,80
PTSD,Multi,logeuclid,Gaussian,0.0026666666666666666,0.4833053221288516,0.0,0.03,1,0.5,80
PTSD,Multi,logeuclid,Gaussian,0.0026666666666666666,0.48056022408963595,-0.0005948881808316135,0.01,2,0.5,80
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.4828011204481792,0.0021715574744975096,0.05,4,0.5,80
PTSD,Multi,logeuclid,Gaussian,0.0026666666666666666,0.5141176470588235,0.09000745699122673,0.01,8,0.5,80
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.6287394957983193,0.33582050202211955,0.03,10,0.5,80
PTSD,Multi,logeuclid,Gaussian,0.0026666666666666666,0.4903641456582632,0.022418167086805094,0.01,0.5,0.5,85
PTSD,Multi,logeuclid,Gaussian,0.002,0.48302521008403354,0.00165710643722116,0.0,1,0.5,85
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.48252100840336126,0.005115907274180661,0.02,2,0.5,85
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.4829131652661064,0.0,0.08,4,0.5,85
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.5064425770308123,0.07522217142669682,0.01,8,0.5,85
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.6555742296918768,0.37923599666491703,0.02,10,0.5,85
PTSD,Multi,logeuclid,Gaussian,0.002,0.49232492997198884,0.024966494767282958,0.01,0.5,0.5,90
PTSD,Multi,logeuclid,Gaussian,0.004,0.4848739495798319,0.006753246753246748,0.01,1,0.5,90
PTSD,Multi,logeuclid,Gaussian,0.0,0.4830812324929971,0.0,0.02,2,0.5,90
